Data,Mean Pooling,EOS Token
GM12878,0.976,0.884
HUVEC,0.982,0.906
Hela-S3,0.981,0.9
NHEK,0.927,0.854
nontata_promoter,0.932,0.853
prom_core_notata,0.852,0.79
prom_core_tata,0.78,0.732
prom_core_all,0.837,0.769
prom_300_notata,0.963,0.818
prom_300_tata,0.794,0.717
prom_300_all,0.935,0.797
coding,0.941,0.885
donors,0.804,0.626
acceptors,0.804,0.67
binary,0.833,0.833
enhancer_cohn,0.776,0.733
enhancer_ensembl,0.936,0.944
tf_0,0.888,0.83
tf_1,0.889,0.842
tf_2,0.797,0.741
tf_3,0.731,0.624
tf_4,0.844,0.787
ocr,0.719,0.665
DNase_I,0.832,0.787
B_amyloliquefaciens,0.862,0.688
R_capsulatus,0.712,0.602
Arabidopsis_NonTATA,0.955,0.814
Arabidopsis_TATA,0.961,0.82
human_worm,0.95,0.837
mouse_0,0.637,0.526
mouse_1,0.886,0.792
mouse_2,0.878,0.775
mouse_3,0.587,0.462
mouse_4,0.642,0.564
5mC,0.68,0.604
6mC,0.747,0.681
4mC_A.thaliana,0.593,0.557
4mC_C.elegans,0.598,0.583
4mC_D.melanogaster,0.609,0.57
4mC_E.coli,0.615,0.579
4mC_G.pickeringii,0.631,0.603
4mC_G.subterraneus,0.609,0.577
H3K79me3,0.819,0.719
H3K4me1,0.711,0.627
H4,0.91,0.795
H4ac,0.694,0.628
H3K4me2,0.69,0.647
H3K4me3,0.638,0.574
H3K14ac,0.711,0.637
H3K36me3,0.749,0.67
H3K9ac,0.759,0.689
all,0.767,0.679
multi,0.853,0.855
reconstructed,0.787,0.629
covid,0.907,0.75
regulatory,0.945,0.872
